ZipCode,State,City,CityID
57792,SD,White Owl,23467
57793,SD,Whitewood,23468
57794,SD,Wounded Knee,23469
57795,SD,Zeona,23470
37010,TN,Adams,23471
37012,TN,Alexandria,23472
37013,TN,Antioch,23473
96027,CA,Sawyers Bar,3053
96028,CA,Fall River Mills,3054
96031,CA,Forks Of Salmon,3055
37014,TN,Arrington,23474
37015,TN,Ashland City,23475
37016,TN,Auburntown,23476
37018,TN,Beechgrove,23477
37019,TN,Belfast,23478
37020,TN,Bell Buckle,23479
37022,TN,Bethpage,23480
37023,TN,Big Rock,23481
37025,TN,Bon Aqua,23482
37026,TN,Bradyville,23483
37027,TN,Brentwood,23484
37028,TN,Bumpus Mills,23485
37029,TN,Burns,23486
37030,TN,Defeated,23487
37031,TN,Castalian Spring,23488
37032,TN,Cedar Hill,23489
37033,TN,Centerville,23490
37034,TN,Chapel Hill,23491
17557,PA,New Holland,22086
17560,PA,New Providence,22087
37035,TN,Chapmansboro,23492
37036,TN,Charlotte,23493
37037,TN,Christiana,23494
